City,Latitude,Longitude
Tokyo,35.6762,139.6503
Washington D.C.,38.9072,-77.0369
London,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.5200,13.4050
Canberra,-35.2809,149.1300
Ottawa,45.4215,-75.6972
Beijing,39.9042,116.4074
Moscow,55.7558,37.6173
Cairo,30.0444,31.2357
New Delhi,28.6139,77.2090
Brasília,-15.7801,-47.9292
Buenos Aires,-34.6037,-58.3816
Rome,41.9028,12.4964
Bangkok,13.7563,100.5018
Mexico City,19.4326,-99.1332
Seoul,37.5665,126.9780
Helsinki,60.1692,24.9384
Kigali,-1.9706,30.1044
Nairobi,-1.2867,36.8219